epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,16668.9,1.06302,1.07753,1.19678,0.75116,0.62936,0.71335,0.51043,1.07354,0.95267,1.17482,0.007228,0.007228,0.007228
44,17032.3,1.05347,1.06508,1.19384,0.7619,0.61925,0.7132,0.51258,1.06758,0.95156,1.16916,0.007162,0.007162,0.007162
45,17395.9,1.05656,1.0681,1.19589,0.75825,0.62968,0.71499,0.51303,1.06418,0.94575,1.16865,0.007096,0.007096,0.007096
46,17759,1.04552,1.0596,1.19243,0.75494,0.63121,0.71625,0.51453,1.06171,0.94652,1.16599,0.00703,0.00703,0.00703
47,18120.9,1.04731,1.05585,1.19076,0.76812,0.63219,0.71798,0.51545,1.06237,0.94348,1.16569,0.006964,0.006964,0.006964
48,18485.7,1.04327,1.04886,1.18985,0.7655,0.63339,0.72039,0.51856,1.05907,0.93875,1.16655,0.006898,0.006898,0.006898
49,18849.5,1.0385,1.03517,1.18306,0.75686,0.64147,0.72168,0.51828,1.06264,0.93571,1.16742,0.006832,0.006832,0.006832
50,19212.8,1.04072,1.03611,1.18471,0.76823,0.63047,0.72062,0.51746,1.05967,0.93398,1.16553,0.006766,0.006766,0.006766
51,19577.7,1.03167,1.03207,1.18364,0.76762,0.6354,0.72329,0.52043,1.05623,0.92979,1.16219,0.0067,0.0067,0.0067
52,19941.5,1.02951,1.016,1.17526,0.76828,0.63664,0.72572,0.5218,1.05413,0.9246,1.16107,0.006634,0.006634,0.006634
53,20305.3,1.02849,1.01749,1.1745,0.77004,0.63555,0.72609,0.5239,1.05169,0.92067,1.15794,0.006568,0.006568,0.006568
54,20668.3,1.03164,1.01558,1.17603,0.75389,0.64405,0.72642,0.52416,1.05342,0.91882,1.15826,0.006502,0.006502,0.006502
55,21030.5,1.02161,1.00578,1.17399,0.75154,0.64693,0.72753,0.52436,1.05331,0.9172,1.15752,0.006436,0.006436,0.006436
56,21394.9,1.0204,1.00195,1.16993,0.76734,0.63854,0.72664,0.52382,1.05329,0.91663,1.15714,0.00637,0.00637,0.00637
57,21757.5,1.02502,0.99719,1.17074,0.75549,0.64305,0.7272,0.5248,1.05315,0.91499,1.15733,0.006304,0.006304,0.006304
58,22119.8,1.02117,0.99355,1.16775,0.75374,0.64357,0.72628,0.52499,1.05207,0.91436,1.15669,0.006238,0.006238,0.006238
59,22482.7,1.01707,0.98549,1.16573,0.75226,0.64505,0.72713,0.52485,1.05051,0.91163,1.15593,0.006172,0.006172,0.006172
60,22845.7,1.01253,0.97996,1.16209,0.76204,0.641,0.72879,0.52521,1.0483,0.90897,1.15446,0.006106,0.006106,0.006106
61,23209.2,1.0104,0.97439,1.15856,0.75884,0.64726,0.72971,0.52574,1.04725,0.90682,1.15285,0.00604,0.00604,0.00604
62,23574.2,1.00548,0.9681,1.15971,0.76242,0.64567,0.73099,0.52698,1.04663,0.90474,1.15287,0.005974,0.005974,0.005974
63,23938.2,1.00384,0.95669,1.15617,0.76968,0.64082,0.7308,0.52735,1.04567,0.90319,1.15196,0.005908,0.005908,0.005908
64,24301,1.0012,0.9587,1.15693,0.76843,0.64334,0.73057,0.52775,1.04397,0.90082,1.15049,0.005842,0.005842,0.005842
65,24663.9,0.99955,0.95956,1.15076,0.76606,0.64546,0.73113,0.52858,1.04312,0.90122,1.15057,0.005776,0.005776,0.005776
66,25026.7,0.99077,0.94839,1.15039,0.76888,0.64297,0.73096,0.52869,1.04278,0.90133,1.15027,0.00571,0.00571,0.00571
67,25389.5,0.98883,0.94437,1.14719,0.77004,0.64175,0.73141,0.52898,1.04355,0.89909,1.15113,0.005644,0.005644,0.005644
68,25753.2,0.98443,0.93486,1.14552,0.77215,0.64094,0.73159,0.52955,1.04251,0.89657,1.15084,0.005578,0.005578,0.005578
69,26116.6,0.98705,0.93281,1.14455,0.7738,0.64308,0.732,0.52982,1.04239,0.89516,1.15038,0.005512,0.005512,0.005512
70,26479,0.98355,0.92529,1.14428,0.77395,0.64386,0.73341,0.53093,1.04246,0.89363,1.15014,0.005446,0.005446,0.005446
71,26842.9,0.97698,0.92175,1.13882,0.77562,0.64158,0.73377,0.53168,1.04196,0.89238,1.14969,0.00538,0.00538,0.00538
72,27206.1,0.97628,0.91243,1.14209,0.77852,0.64103,0.73452,0.53205,1.04224,0.89213,1.14986,0.005314,0.005314,0.005314
73,27568.8,0.9724,0.91211,1.13498,0.77377,0.64461,0.73439,0.53222,1.04211,0.89162,1.14967,0.005248,0.005248,0.005248
74,27933.1,0.97249,0.91518,1.13813,0.77023,0.64726,0.73511,0.53266,1.04243,0.89057,1.14989,0.005182,0.005182,0.005182
75,28296.5,0.96994,0.90668,1.13637,0.77076,0.64859,0.73557,0.53279,1.04259,0.88937,1.15029,0.005116,0.005116,0.005116
76,28659.9,0.96615,0.89432,1.13325,0.76913,0.65125,0.73614,0.53322,1.04254,0.88839,1.15002,0.00505,0.00505,0.00505
77,29023.6,0.96127,0.88699,1.13256,0.76248,0.65421,0.73594,0.53301,1.04256,0.88764,1.15002,0.004984,0.004984,0.004984
78,29387.3,0.96687,0.88981,1.13073,0.76212,0.65576,0.7362,0.5333,1.04264,0.887,1.15013,0.004918,0.004918,0.004918
79,29753.3,0.95576,0.88362,1.12778,0.76149,0.65805,0.73678,0.5335,1.04276,0.88616,1.1504,0.004852,0.004852,0.004852
80,30133.2,0.95586,0.87276,1.12059,0.76205,0.65715,0.73658,0.53364,1.04341,0.88562,1.15088,0.004786,0.004786,0.004786
81,30517.3,0.95407,0.87358,1.12246,0.76198,0.65749,0.73699,0.53402,1.04295,0.8848,1.15069,0.00472,0.00472,0.00472
82,30896.3,0.95438,0.86927,1.12446,0.76175,0.65825,0.73693,0.53406,1.04271,0.88489,1.15083,0.004654,0.004654,0.004654
83,31273.8,0.94546,0.86277,1.12075,0.7663,0.65523,0.73718,0.5345,1.04292,0.88468,1.15109,0.004588,0.004588,0.004588
84,31639.6,0.94425,0.86458,1.11795,0.77229,0.65293,0.73728,0.53442,1.04336,0.88424,1.1513,0.004522,0.004522,0.004522
85,32010.9,0.9392,0.85364,1.11924,0.7708,0.65381,0.73762,0.53449,1.04332,0.88364,1.15146,0.004456,0.004456,0.004456
86,32366.2,0.94996,0.85493,1.12082,0.77446,0.65128,0.73764,0.53436,1.04346,0.88329,1.15138,0.00439,0.00439,0.00439
87,32716.5,0.93724,0.84757,1.11278,0.77528,0.65051,0.73758,0.53443,1.04351,0.883,1.15133,0.004324,0.004324,0.004324
88,33066.8,0.93214,0.84085,1.11037,0.77423,0.6515,0.73782,0.53424,1.04351,0.88269,1.15146,0.004258,0.004258,0.004258
89,33416.8,0.92881,0.83764,1.11109,0.77437,0.6522,0.73753,0.53419,1.04371,0.88242,1.1514,0.004192,0.004192,0.004192
90,33767.2,0.93319,0.83305,1.11019,0.77427,0.6509,0.73739,0.53401,1.0433,0.88236,1.15099,0.004126,0.004126,0.004126
91,34117.4,0.93642,0.83374,1.10895,0.77463,0.65062,0.73726,0.53429,1.04296,0.8824,1.15085,0.00406,0.00406,0.00406
92,34467.7,0.92221,0.82333,1.10851,0.77306,0.65242,0.73765,0.53425,1.04245,0.88233,1.15067,0.003994,0.003994,0.003994
93,34839.6,0.92267,0.82388,1.10276,0.7729,0.65224,0.73752,0.53427,1.04214,0.88216,1.15047,0.003928,0.003928,0.003928
94,35216.2,0.91855,0.8151,1.10545,0.77239,0.65219,0.73791,0.53446,1.04216,0.88218,1.1504,0.003862,0.003862,0.003862
95,35597,0.92468,0.81705,1.10405,0.77147,0.65289,0.73783,0.53449,1.04183,0.88157,1.15021,0.003796,0.003796,0.003796
96,35979,0.91028,0.80775,1.10109,0.77488,0.64957,0.7377,0.53486,1.04193,0.88116,1.15033,0.00373,0.00373,0.00373
97,36347.3,0.9163,0.80056,1.09797,0.77222,0.65168,0.73784,0.53497,1.04178,0.88085,1.15025,0.003664,0.003664,0.003664
98,36693.8,0.91798,0.80098,1.09611,0.7721,0.65178,0.7379,0.53487,1.04178,0.88051,1.15007,0.003598,0.003598,0.003598
99,37040.2,0.90705,0.79692,1.09353,0.77049,0.65233,0.73793,0.53505,1.04189,0.8804,1.15009,0.003532,0.003532,0.003532
100,37386.9,0.90401,0.78826,1.09302,0.77304,0.65037,0.7378,0.53498,1.04174,0.88,1.15005,0.003466,0.003466,0.003466
101,37733.4,0.9055,0.78044,1.08895,0.77558,0.64978,0.73805,0.53508,1.04175,0.87964,1.15001,0.0034,0.0034,0.0034
102,38080.1,0.90103,0.77394,1.08878,0.77487,0.65008,0.73774,0.53479,1.04185,0.87939,1.15008,0.003334,0.003334,0.003334
103,38426.7,0.90036,0.77308,1.08709,0.77448,0.64992,0.738,0.53503,1.04185,0.87886,1.15004,0.003268,0.003268,0.003268
104,38773.3,0.90135,0.77314,1.08805,0.77527,0.64869,0.73774,0.53499,1.04192,0.87854,1.1502,0.003202,0.003202,0.003202
105,39119.9,0.89163,0.76469,1.08481,0.77584,0.64908,0.73785,0.53489,1.04206,0.87828,1.15041,0.003136,0.003136,0.003136
106,39466.5,0.88545,0.75622,1.07777,0.77265,0.65101,0.73767,0.5349,1.04205,0.87798,1.15046,0.00307,0.00307,0.00307
107,39813.1,0.88876,0.75665,1.08066,0.76812,0.65467,0.73792,0.53514,1.0423,0.87749,1.1506,0.003004,0.003004,0.003004
108,40159.6,0.88808,0.75392,1.08409,0.7674,0.65516,0.7376,0.53506,1.04203,0.87715,1.15054,0.002938,0.002938,0.002938
109,40506,0.87652,0.7434,1.08055,0.76775,0.65496,0.7376,0.53522,1.04211,0.87646,1.15077,0.002872,0.002872,0.002872
110,40852.4,0.87788,0.74014,1.07704,0.76736,0.65471,0.73758,0.53525,1.04221,0.87636,1.15097,0.002806,0.002806,0.002806
111,41199,0.87554,0.73691,1.07533,0.76817,0.65421,0.73757,0.53525,1.04239,0.87593,1.15103,0.00274,0.00274,0.00274
112,41545.5,0.87408,0.73398,1.07129,0.76841,0.65362,0.73777,0.53511,1.04259,0.87587,1.15121,0.002674,0.002674,0.002674
113,41892,0.86919,0.72763,1.07249,0.76948,0.65269,0.73759,0.53527,1.04273,0.87588,1.15142,0.002608,0.002608,0.002608
114,42246.2,0.86902,0.72085,1.07253,0.76855,0.65227,0.73727,0.53539,1.04282,0.87583,1.15155,0.002542,0.002542,0.002542
115,42613.1,0.86749,0.71295,1.06907,0.76987,0.65169,0.73769,0.53557,1.04289,0.87588,1.15157,0.002476,0.002476,0.002476
116,42977.5,0.86242,0.7103,1.06527,0.76687,0.65293,0.73731,0.53529,1.04285,0.87577,1.15156,0.00241,0.00241,0.00241
117,43347.5,0.85874,0.70906,1.06752,0.76374,0.65575,0.73711,0.53525,1.0429,0.87589,1.15158,0.002344,0.002344,0.002344
118,43711.7,0.85431,0.70486,1.06217,0.76384,0.65662,0.73748,0.53543,1.04297,0.87615,1.15162,0.002278,0.002278,0.002278
119,44067.9,0.85361,0.69808,1.0597,0.76261,0.65741,0.73732,0.53534,1.04312,0.87625,1.15181,0.002212,0.002212,0.002212
120,44440.7,0.8476,0.69289,1.05714,0.75485,0.66188,0.73732,0.53539,1.04352,0.87623,1.15221,0.002146,0.002146,0.002146
121,44814.8,0.8486,0.68866,1.05895,0.76508,0.65567,0.73721,0.53538,1.04374,0.87595,1.15219,0.00208,0.00208,0.00208
122,45225.3,0.84739,0.68836,1.05305,0.76886,0.65215,0.73711,0.53554,1.04402,0.87566,1.15262,0.002014,0.002014,0.002014
123,45671.8,0.84018,0.67638,1.05432,0.76874,0.65294,0.73719,0.53564,1.04411,0.87569,1.15266,0.001948,0.001948,0.001948
124,46045.8,0.83636,0.67806,1.05274,0.76831,0.65325,0.73698,0.53563,1.04421,0.87581,1.15272,0.001882,0.001882,0.001882
125,46396.9,0.83457,0.67082,1.04894,0.76982,0.65,0.73698,0.53551,1.04428,0.87614,1.15276,0.001816,0.001816,0.001816
126,46755.5,0.83209,0.66731,1.05208,0.77249,0.64896,0.73724,0.53567,1.04426,0.87605,1.15287,0.00175,0.00175,0.00175
127,47132.2,0.82847,0.66127,1.04512,0.76665,0.65412,0.73729,0.53575,1.04425,0.8761,1.15293,0.001684,0.001684,0.001684
